title,author,published_year,subject,language,cover
"Les Prix de Vertu, fondés par M. de Montyon",Frédéric Lock,1876,"Montyon, Antoine-Jean-Baptiste-Robert Auget, baron de, 1733-1820., Prix de Vertu., Awards -- France., France -- Biography.",fre,https://covers.openlibrary.org/b/id/6324499-L.jpg
Teachers With Class... True Stories Of Great Teachers,"Marsha Serling Goldberg, Sonia Feldman",March 2003,"Teaching, Teacher-student relationships, Education, Education / Teaching, United States, Teaching Methods & Materials - General, Teachers, Education / General, Awards, General, Anecdotes",eng,https://covers.openlibrary.org/b/id/469736-L.jpg
Rock and Roll Hall of Fame 1994,Rock and Roll Hall of Fame Foundation,1994,"Rock and Roll Hall of Fame Foundation, History and criticism, Grateful Dead (Musical group), Animals (Musical group), Rock musicians, Awards, Rock music, Band (Musical group), Biography",eng,https://covers.openlibrary.org/b/id/9964834-L.jpg
Stories of heroism,B. Chakravorty,,"Biography, Military decorations, Armed Forces, Soldiers, History, Heroes, Juvenile literature, Awards, Medals, badges, decorations, Officers, India. Army",,
La colina vacía,Ana Arnáiz,,"Awards, Architecture, History, Sculptors, Architects, Monuments",,
The third annual Rock & Roll Hall of Fame induction dinner,Rock and Roll Hall of Fame Foundation,1988,"Supremes (Musical group), Beatles, Rock and Roll Hall of Fame Foundation, History and criticism, Beach Boys, Rock musicians, Awards, Drifters (Musical group), Rock music, Biography",eng,https://covers.openlibrary.org/b/id/10018469-L.jpg
Rock and Roll Hall of Fame 1990,Rock and Roll Hall of Fame Foundation,1990,"Kinks (Musical group), Platters (Musical group), Who (Musical group), Rock and Roll Hall of Fame Foundation, Simon and Garfunkel, History and criticism, Musicians, Awards, Four Seasons (Musical group), Rock music, Four Tops (Musical group), Biography",eng,https://covers.openlibrary.org/b/id/9531446-L.jpg
The Rock and Roll Hall of Fame eleventh annual induction dinner,Rock and Roll Hall of Fame Foundation,1996,"Rock and Roll Hall of Fame Foundation, Jefferson Airplane (Musical group), Rock musicians, Rock and Roll Hall of Fame and Museum, Pink Floyd (Musical group), Music museums, Shirelles (Musical group), Gladys Knight and the Pips, History and criticism, Awards, Velvet Underground (Musical group), Rock music, Biography",eng,https://covers.openlibrary.org/b/id/9811918-L.jpg
In the spirit of enterprise from the Rolex Awards,Gregory B. Stone,,"Inventions -- Awards., Science -- Awards.",,https://covers.openlibrary.org/b/id/9820276-L.jpg
Print's Best Logos & Symbols 4,"Linda Silver, Andrew Kner",March 1996,"Signs and symbols, United States, Commercial art, Trademark And Letterhead Design, Art & Art Instruction, Art, Techniques - Drawing, Logography, Advertising & Promotion, Commercial - General, Typography, Awards",eng,https://covers.openlibrary.org/b/id/8283319-L.jpg
The best American magazine writing 2010,"American Society of Magazine Editors, Mitch Albom",,"American prose literature, Periodicals, Journalism, Awards, Journalism, united states",,https://covers.openlibrary.org/b/id/14597943-L.jpg
College football awards,David Blevins,,"College football players, Football, Awards, College sports, Arbitration and award, Football players, College athletes",,
World Press Photo 1999,World Press,"July 1, 1999","Photojournalism, Photography, Photo Essays, Photographs: collections, Press & journalism, Yearbooks, annuals, almanacs, c 1990 to c 2000, Collections, Catalogs, Exhibitions",eng,https://covers.openlibrary.org/b/id/1261392-L.jpg
Discorso letto nella grande aula dell'Imperiale Regio Palazzo delle scienze e delle arti in occasione della solenne distribuzione de' premj dell'Imperiale Regia Accademia delle belle arti,"Accademia di belle arti (Milan, Italy)",,"Awards, Art, Speeches, addresses, etc., Italian, Accademia di belle arti (Milan, Italy)",,
Ausgezeichnete Innenarchitektur,Rudolf Schricker,,"Innenarchitektur, Designs and plans, Awards, Interior architecture, Deutscher Innenarchitekturpreis, Preisträger, Architects",,
דוד האפשטיין פרייז,"M. Tsanin, Fareyn fun Yidishe shraybers un zshurnalisṭn in Yiśroʼel, Doṿid Hofshṭeyn-prayz (2000 Tel-Aviv)",,"Awards, Yiddish Authors",,
El meu jurament de 1939,Josep Benet,,"Politics and government, Awards, Europe, history, Medals, Political persecution",,
