title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
Politics of Literary Prestige: Prizes and Spanish American Literature,Sarah E. L. Bowskill,2,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL25809312W/Politics_of_Literary_Prestige?edition=key%3A/books/OL34798315M,2022,Bloomsbury Publishing Plc,English,240.0,"Spanish American literature, Awards, Political aspects, Literary prizes, Literary studies: from c 1900 -, Literary studies: fiction, novelists & prose writers, Social & political philosophy"
Symposium Städtebau revisited: Preise - Praxis - Perspektiven : Preisverleihung : Deutscher Städtebaupreis 2020,Christina Simon-Philipp,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32038765W/Symposium_Städtebau_revisited?edition=key%3A/books/OL43760327M,2022,Wasmuth & Zohlen,German,135.0,"City planning, Congresses, Awards, German Architecture, Urbanisme, Congrès, Prix et récompenses, Architecture allemande, Germany, Allemagne, 21st century, 21e siècle"
NTAA 2022 - New Technological Art Award 2022: international art exhibition,Haseeb Ahmed,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32026243W/NTAA_2022_-_New_Technological_Art_Award_2022?edition=key%3A/books/OL43745050M,2022,Artha - art & heritage books,English,127.0,"Art and technology, Exhibitions, Art, Awards, Belgium, Ghent"
"Deutsche Bank ""Artists of the Year"" 2021: Maxwell Alexandre, Conny Maier, Zhang Xu Zhan",Maxwell Alexandre,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31912905W/Deutsche_Bank_Artists_of_the_Year_2021?edition=key%3A/books/OL43626077M,2022,Kerber Verlag,English,227.0,"Modern Art, Exhibitions, Art, Awards, Maxwell Alexandre (1990-), Conny Maier, Zhang Xu Zhan (1988-), Germany, 21st century"
"MAXXI Bulgari Prize 2022: Alessandra Ferrini, Silvia Rosi, Namsal Siedlecki",Giulia Ferracci,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31884256W/MAXXI_Bulgari_Prize_2022?edition=key%3A/books/OL43592610M,2022,Corraini edizioni,Italian,163.0,"Maxxi Bulgari Prize, Exhibitions, Art, Awards, Young artists, Alessandra Ferrini (1984-), Silvia Rosi (1992-), Namsal Siedlecki (1986-), Italy, Rome"
Premio Combat 2022 Prize,Paolo Batoni,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31923815W/Premio_Combat_2022_Prize?edition=key%3A/books/OL43637924M,2022,Sillabe,Italian,144.0,"Premio Combat, Exhibitions, Modern Art, Italian Art, Art, Awards, Italy, Livorno, 21st century"
Sustainable design 9: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city,Marie-Hélène Contal,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31924098W/Sustainable_design_9?edition=key%3A/books/OL43638234M,2022,Éditions Alternatives,French,155.0,"Sustainable architecture, Awards, History, Global Award for Sustainable Architecture, Architecture and society, 21st century"
Nueva arquitectura tradicional MMXXII: Premios de las Artes de la Construcción Richard H. Driehaus = New traditional architecture MMXXI : Awards for Building Arts Richard H. Driehaus,Alejandro García Hermida,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31827276W/Nueva_arquitectura_tradicional_MMXXII?edition=key%3A/books/OL43527529M,2022,INTBAU,Spanish,146.0,"Vernacular architecture, Architecture, Awards, Architecture vernaculaire, Spain, Espagne"
In the shadow of trees,Belgium) PhotoBrussels Festival (6th 202...,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL31817991W/In_the_shadow_of_trees?edition=key%3A/books/OL43517390M,2022,Hangar Photo Art Center,French,162.0,"Artistic Photography, Exhibitions, Awards, Photography of trees, Trees in art, Belgium, Brussels"
"Manga, anime jushō sakuhin sōran",Nichigai Asoshiētsu,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32151176W/Manga_anime_jushō_sakuhin_sōran?edition=key%3A/books/OL43888634M,2022,Nichigai Asoshiētsu,Japanese,610.0,"Comic books, strips, Bibliography, Awards, Animated films, Catalogs, Japan"
