title,author,edition_count,cover_url,book_url,publish_date,publisher,language,pages,subjects
CyberArts 2019,"Hannes Leopoldseder, Christine Schöpf, Gerfried Stocker",1,https://covers.openlibrary.org/b/id/13794701-M.jpg,https://openlibrary.org/works/OL25222793W/CyberArts_2019?edition=key%3A/books/OL33678086M,2019,Hatje Cantz Verlag GmbH & Co KG,English,256,"Computer art, Awards, Computer animation, Technology and the arts"
The Coretta Scott King Awards: 50th Anniversary,"Carole J. McCollough, Adelaide Poniatowski Phelps",1,https://covers.openlibrary.org/b/id/10837117-M.jpg,https://openlibrary.org/works/OL24318976W/The_Coretta_Scott_King_Awards?edition=key%3A/books/OL32181401M,"Jun 03, 2019",ALA Editions,,248,"American literature, african american authors, bibliography, Children's literature, bibliography, African americans in literature, Children, books and reading, Coretta Scott King Award, American literature, Bibliography, African American authors, Awards, Children's literature, American, African Americans in literature, Children, Books and reading"
Complex Management Systems and the Shingo Model: Foundations of Operational Excellence and Supporting Tools,Gerhard J. Plenert,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL25746999W/Complex_Management_Systems_and_the_Shingo_Model?edition=key%3A/books/OL34643435M,2019,Taylor & Francis Group,English,,"Production management, Lean manufacturing, Manufacturing industries, Awards, Production, Gestion, Production allégée, Industrie manufacturière, Prix et récompenses, BUSINESS & ECONOMICS, Industrial Management, Management, Management Science, Organizational Behavior, General, Quality Control, Industries, Manufacturing Industries"
Not Just Your Face Honey,"Stefanie Moshammer, Andreas Prinzing",1,https://covers.openlibrary.org/b/id/13909182-M.jpg,https://openlibrary.org/works/OL25634324W/Not_Just_Your_Face_Honey?edition=key%3A/books/OL34400957M,2019,"Dreen, Markus, Anne König u. Jan Wenzel. Spectormag GbR",English,144,"Exhibitions, Artistic Photography, Pictorial works, Photography, Awards"
Of African objects in Western museums: award of the Gerda Henkel prize 2018 = Über afrikanische Objekte in westlichen Museen : Verleihung des Gerda Henkel Preises 2018,Achille Mbembe,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32570289W/Of_African_objects_in_Western_museums?edition=key%3A/books/OL44378946M,2019,Rhema,German,114,"African Art objects, Museums, Collection management, Museum techniques, Art, History, Awards, Achille Mbembe (1957-)"
"Marler Medienkunst-Preise 2018: Klangkunst, Videokunst","Georg Elben, Sarah-Kristin Happersberger, Irene Horn, Isabel Hufschmidt",1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32595870W/Marler_Medienkunst-Preise_2018?edition=key%3A/books/OL44406001M,2019,Wienand,German,115,"New media art, Exhibitions, Video art, Sound installations (Art), Modern Art, Art, Awards, Germany, 21st century"
25 Jahre Wolfgang-Hahn-Preis: aus dem Archiv 1994-2019 = 25 years Wolfgang Hahn Prize : from the archives 1994-2019,Carla Cugini,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32529066W/25_Jahre_Wolfgang-Hahn-Preis?edition=key%3A/books/OL44328939M,2019,Verlag der Buchhandlung Walther König,"German,English",85,"Art, Exhibitions, Awards, Modern Art, Gesellschaft für Moderne Kunst am Museum Ludwig, Germany"
60o Premio internazionale Bugatti Segantini,,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32462948W/60o_Premio_internazionale_Bugatti_Segantini?edition=key%3A/books/OL44244845M,2019,Nomos edizioni,Italian,251,"Italian Art, Exhibitions, Art, Awards, Premio Bugatti Segantini, Italy, Monza Brianza (Province), 20th century, 21st century"
Nihon no shōjiten: 2012-2019,Nichigai Asoshiētsu,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32530451W/Nihon_no_shōjiten?edition=key%3A/books/OL44330650M,2019,Nichigai Asoshiētsu,Japanese,390,"Awards, Handbooks, manuals, History, Japan, 21st century"
De Best Verzorgde Boeken 2018: The Best Dutch Book Designs,Gert Jan Slagter,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32459939W/De_Best_Verzorgde_Boeken_2018?edition=key%3A/books/OL44240162M,2019,Stichting CPNB,English,352,"Book design, Awards, Netherlands"
Bauherrenpreis '19,Albert Kirchengast,1,https://openlibrary.org/images/icons/avatar_book-sm.png,https://openlibrary.org/works/OL32335908W/Bauherrenpreis_'19?edition=key%3A/books/OL44088481M,2019,Müry Salzmann,German,81,"Bauherrenpreis der Zentralvereinigung der Architektinnen und Architekten Österreichs, Exhibitions, Architecture, Awards, Architects and builders, History, Competitions, Modern Architecture, Austria, 21st century"
