title,authors,publisher,publishedDate,description,categories,pageCount,language,previewLink,averageRating,ratingsCount
The Américas Award,Laretta Henderson,Bloomsbury Publishing PLC,2015-12-16,"First awarded in 1993, the Américas Award is given in recognition of books that authentically and engagingly portray Latino/as in Latin America, the Caribbean or the United States. By combining both and linking the Americas, the award reaches beyond geographic borders, as well as multicultural-international boundaries, focusing instead upon cultural heritages within the hemisphere. The Award is unique in that selects Latino/a youth literature for classroom use and in that it focuses on the entire Western Hemisphere. Scholars from the fields of literature, education, lbrary science, and theater engage with Latino/a Critical Race Theory (LatCrit) in this ecollection of essays about the Américas Award, the Award-winning and honored books, and the contexts in which the books are used. This collection offers essays on the history of the award, close readings of Award-winning and honored books situated in the classroom, and discussions of how best to use the books in the classroom, library and theater.",Literary Criticism,229.0,en,http://books.google.de/books?id=wCLuCgAAQBAJ&pg=PA64&dq=awarded+books&hl=&as_pt=BOOKS&cd=1&source=gbs_api,,
Britannica Book of the Year 2009,"Encyclopaedia Britannica, Inc.","Encyclopaedia Britannica, Inc.",2009-03-01,"The Britannica Book of the Year 2009 provides a valuable veiwpoint of the people and events that shaped the year and serves as a great reference source for the latest news on the ever changing populations, governments, and economies throughout the world. It is an accurate and comprehensive reference that you will reach for again and again.",Juvenile Nonfiction,882.0,en,http://books.google.de/books?id=IaecAAAAQBAJ&pg=PA256&dq=awarded+books&hl=&as_pt=BOOKS&cd=2&source=gbs_api,5.0,1.0
"Miscellaneous picture and story books for children, ed. by E.W. Vredenburg. 1-51",Edric Vredenburg,,1894,,,112.0,en,http://books.google.de/books?id=fGW96P9M1k0C&pg=PT10&dq=awarded+books&hl=&as_pt=BOOKS&cd=3&source=gbs_api,,
Proceedings,Chicago (Ill.). Board of Education,,1875,,Education,184.0,en,http://books.google.de/books?id=T9ITXYUica4C&pg=PA3&dq=awarded+books&hl=&as_pt=BOOKS&cd=4&source=gbs_api,,
Books from the U.S.A.,,,1957,,American literature,588.0,en,http://books.google.de/books?id=njMZAQAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=5&source=gbs_api,,
Brown Book,,,1898,,,630.0,en,http://books.google.de/books?id=OJYoAAAAYAAJ&pg=RA2-PA100&dq=awarded+books&hl=&as_pt=BOOKS&cd=6&source=gbs_api,,
Multicultural Literature for Latino Bilingual Children,"Ellen Riojas Clark, Belinda Bustos Flores, Daniel Alejandro González",Bloomsbury Publishing USA,2025-09-18,"Multicultural Literature for Latino Bilingual Children: Their Words, Their Worlds 2nd Edition, is a comprehensive theory to practice book for preparing teachers and librarians. Pertinent references to Latino children's literature, classroom activities, and additional resources are provided throughout to make content accessible, incorporate community knowledge, and expand critical thinking and imagination.",Education,401.0,en,http://books.google.de/books?id=ywWNEQAAQBAJ&pg=PA36&dq=awarded+books&hl=&as_pt=BOOKS&cd=7&source=gbs_api,,
Calendar,University of Cambridge,,1896,,,1200.0,en,http://books.google.de/books?id=_EA4AAAAMAAJ&pg=RA3-PA732&dq=awarded+books&hl=&as_pt=BOOKS&cd=8&source=gbs_api,,
"Register of the associates and old students of the Royal college of chemistry, the Royal school of mines, and the Royal college of science; with intr. by T.G. Chambers","London univ, imp. coll. of sci. and technol, roy. coll. of sci, Sir Theodore Gervase Chambers",,1896,,Scientists,420.0,en,http://books.google.de/books?id=ae5RJ9RZAbwC&pg=PA204&dq=awarded+books&hl=&as_pt=BOOKS&cd=9&source=gbs_api,,
The Bombay university calendar,"Bombay city, univ",,1892,,,794.0,en,http://books.google.de/books?id=MOgpKBt0TMkC&pg=PA270&dq=awarded+books&hl=&as_pt=BOOKS&cd=10&source=gbs_api,,
New Zealand Books in Print,,,1988,,New Zealand,300.0,en,http://books.google.de/books?id=huPiyu6ddqQC&pg=PR20&dq=awarded+books&hl=&as_pt=BOOKS&cd=11&source=gbs_api,,
Australian Books in Print,,,1987,,Australia,824.0,en,http://books.google.de/books?id=s9c3AAAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=12&source=gbs_api,,
The Educational calendar and scholastic year book [ed. by F. Marcus].,,,1871,,,438.0,en,http://books.google.de/books?id=B-ENAAAAQAAJ&pg=PA47&dq=awarded+books&hl=&as_pt=BOOKS&cd=13&source=gbs_api,,
The Educational year book. [5 issues].,,,1882,,,592.0,en,http://books.google.de/books?id=niUOAAAAQAAJ&pg=PA110&dq=awarded+books&hl=&as_pt=BOOKS&cd=14&source=gbs_api,,
Writers' and Artists' Year-book,,,1976,,Arts,470.0,en,http://books.google.de/books?id=VutgAAAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=15&source=gbs_api,,
"Awards Honors & Prizes, Volume 2",Thomson Gale,Gale Cengage,2007-04,"This international directory describes awards given for achievements in virtually every field of endeavor. Awards are listed alphabetically by the name of the administering organization, followed by alphabetical listings and descriptions of each of the awards it offers. Each volume contains organization, award, and subject indexes for quick reference. This reference includes e-mail addresses and URLs.",Reference,680.0,en,http://books.google.de/books?id=Nmk7AQAAIAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=16&source=gbs_api,,
"Annual Report of the Regents of the University, to the Legislature of the State of New-York",University of the State of New York. Board of Regents,,1879,,Education,634.0,en,http://books.google.de/books?id=OzcdAQAAIAAJ&pg=PA14&dq=awarded+books&hl=&as_pt=BOOKS&cd=17&source=gbs_api,,
The Publishers Weekly,,,1876,,American literature,874.0,en,http://books.google.de/books?id=8xgDAAAAYAAJ&pg=PA117&dq=awarded+books&hl=&as_pt=BOOKS&cd=18&source=gbs_api,,
The Dublin University Calendar,"Trinity College (Dublin, Ireland)",,1892,,,846.0,en,http://books.google.de/books?id=lWstAQAAMAAJ&pg=RA2-PA55&dq=awarded+books&hl=&as_pt=BOOKS&cd=19&source=gbs_api,,
A Catalogue of Award-winning Titles,,,2008,,Philippines,238.0,en,http://books.google.de/books?id=zN7fAAAAMAAJ&pg=PP6&dq=awarded+books&hl=&as_pt=BOOKS&cd=20&source=gbs_api,,
The Wisconsin Farmer,,,1900,,Agriculture,852.0,en,http://books.google.de/books?id=haHgnLrTSf0C&pg=PA184&dq=awarded+books&hl=&as_pt=BOOKS&cd=41&source=gbs_api,,
Critical Perspectives on Postcolonial African Children's and Young Adult Literature,Meena Khorana,Praeger,1998-04-08,"The past few years mark a growing scholarly interest in African children's literature in the United States. Several books have recently been published on the subject, and the number of papers on African children's literature presented at conferences or published in scholarly journals also seems to have increased. These publications are becoming more and more sophisticated as scholars move away from general country surveys or analyses of publishing conditions and instead analyze literary structures, themes, and illustrations, or apply Marxist, feminist, or postcolonial theories to interpret literary works. The question of an authentic voice in postcolonial African children's literature has emerged as a central concern to those who care about books for African children and young adults. Also of importance is the matter of how Africa is presented in literature for children who do not live on that continent. The essays in this book either take a postcolonial or revisionist approach to the study of colonial literature, or discuss books published after decolonization. The introductory essay provides a general analysis of the key issues facing the publication of children's books in postcolonial Africa—issues of national identity, language, appropriate genres, and relevant themes to inculcate a nationalistic outlook in children and young adults. The chapters that follow are located within this broad framework and are written by expert contributors. While these essays reflect the scholarly interests and specialization of each author, they also span the entire field of African children's literature. The first group of chapters surveys African children's literature from a variety of angles and explores such topics as literacy and the publishing culture in Africa, the role and importance of awards, Nigerian young adult literature, and the relevance of folktales. The book then turns to a discussion of books about Africa written by Western authors for Western readers, which often project values and perspectives that betray a continuing colonial bias. The last part of the book examines more specialized themes and concerns.",Literary Criticism,202.0,en,http://books.google.de/books?id=y6xkAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=42&source=gbs_api,,
The Times of India Directory and Year Book Including Who's who,Sir Stanley Reed,,1971,"Issues for 1919-47 include Who's who in India; 1948, Who's who in India and Pakistan.",India,1038.0,en,http://books.google.de/books?id=ZgQfAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=43&source=gbs_api,,
Emergency Librarian,,,1989,,Instructional materials centers,80.0,en,http://books.google.de/books?id=bu4OAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=44&source=gbs_api,,
Documents of the Senate of the State of New York,New York (State). Legislature. Senate,,1877,,,1538.0,en,http://books.google.de/books?id=pKQlAQAAIAAJ&pg=RA2-PA16&dq=awarded+books&hl=&as_pt=BOOKS&cd=45&source=gbs_api,,
Statistical Register,Australia. Commonwealth Bureau of Census and Statistics. New South Wales Office,,1917,Included also as a part of some vols. of the office's annual Statistical register until it ceased publication with vol. for 1954/55.,Mineral industries,1276.0,en,http://books.google.de/books?id=zRYtAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=46&source=gbs_api,,
In Jewish Bookland,,,1947,,Books,314.0,en,http://books.google.de/books?id=FrfAUEOupoUC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=47&source=gbs_api,,
Journal of Education and School World,,,1889,,Education,664.0,en,http://books.google.de/books?id=NpRFAQAAMAAJ&pg=PA40&dq=awarded+books&hl=&as_pt=BOOKS&cd=48&source=gbs_api,,
American Printer and Bookmaker,,,1894,,Bookbinding,302.0,en,http://books.google.de/books?id=23_nAAAAMAAJ&pg=PA24&dq=awarded+books&hl=&as_pt=BOOKS&cd=49&source=gbs_api,,
Transactions of the Institution of Engineers and Shipbuilders in Scotland,Institution of Engineers and Shipbuilders in Scotland,,1930,,Engineering,772.0,en,http://books.google.de/books?id=S3NqAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=50&source=gbs_api,,
The American Bookseller,,,1876,,American literature,554.0,en,http://books.google.de/books?id=UcwpAAAAYAAJ&pg=PA260&dq=awarded+books&hl=&as_pt=BOOKS&cd=51&source=gbs_api,,
The Critic,,,1895,,,478.0,en,http://books.google.de/books?id=k1lDAQAAMAAJ&pg=PA125&dq=awarded+books&hl=&as_pt=BOOKS&cd=52&source=gbs_api,,
Library Association Year Book,Library Association,,1992,List of members in each volume.,Libraries,456.0,en,http://books.google.de/books?id=FtoaAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=53&source=gbs_api,,
The American School Board Journal,"William George Bruce, William Conrad Bruce",,1898,,Education,520.0,en,http://books.google.de/books?id=-CgxAQAAMAAJ&pg=RA2-PA12&dq=awarded+books&hl=&as_pt=BOOKS&cd=54&source=gbs_api,,
Elementary Children's Literature,Nancy A. Anderson,Allyn & Bacon,2002,"Written in a personable tone, this concise literature methods text is filled with classroom applications and teaching strategies for future teachers and parents of preschool and elementary children. Organized around genres, this student-friendly text presents the basic children's literature course content. Each genre chapter contains extensive up-to-date bibliographies most with annotations of books in print, and a few exceptional out-of-print books, and for each genre, there is a list of evaluation criteria. This exceptional textbook not only includes books about minorities in each chapter but it also features works by minority authors and illustrators. Uniquely, Elementary Children's Literature offers instructional and curriculum tie-ins that are woven within the text and in literature response boxes at strategic places in each chapter. Book illustrations are included at the beginning of each chapter as well as throughout the narrative.",Education,404.0,en,http://books.google.de/books?id=TB_uAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=55&source=gbs_api,,
Books on Trial,,,1954,,American literature,952.0,en,http://books.google.de/books?id=207pAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=56&source=gbs_api,,
Anthropology News,,,2004,,Anthropological linguistics,308.0,en,http://books.google.de/books?id=AhwNAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=57&source=gbs_api,,
