title,author,published_year,subject,language,cover
"Les Prix de Vertu, fondés par M. de Montyon",Frédéric Lock,1876,"Montyon, Antoine-Jean-Baptiste-Robert Auget, baron de, 1733-1820., Prix de Vertu., Awards -- France., France -- Biography.",fre,https://covers.openlibrary.org/b/id/6324499-L.jpg
Teachers With Class... True Stories Of Great Teachers,"Marsha Serling Goldberg, Sonia Feldman",March 2003,"Teaching, Teacher-student relationships, Education, Education / Teaching, United States, Teaching Methods & Materials - General, Teachers, Education / General, Awards, General, Anecdotes",eng,https://covers.openlibrary.org/b/id/469736-L.jpg
Rock and Roll Hall of Fame 1994,Rock and Roll Hall of Fame Foundation,1994,"Rock and Roll Hall of Fame Foundation, History and criticism, Grateful Dead (Musical group), Animals (Musical group), Rock musicians, Awards, Rock music, Band (Musical group), Biography",eng,https://covers.openlibrary.org/b/id/9964834-L.jpg
The third annual Rock & Roll Hall of Fame induction dinner,Rock and Roll Hall of Fame Foundation,1988,"Supremes (Musical group), Beatles, Rock and Roll Hall of Fame Foundation, History and criticism, Beach Boys, Rock musicians, Awards, Drifters (Musical group), Rock music, Biography",eng,https://covers.openlibrary.org/b/id/10018469-L.jpg
Rock and Roll Hall of Fame 1990,Rock and Roll Hall of Fame Foundation,1990,"Kinks (Musical group), Platters (Musical group), Who (Musical group), Rock and Roll Hall of Fame Foundation, Simon and Garfunkel, History and criticism, Musicians, Awards, Four Seasons (Musical group), Rock music, Four Tops (Musical group), Biography",eng,https://covers.openlibrary.org/b/id/9531446-L.jpg
The Rock and Roll Hall of Fame eleventh annual induction dinner,Rock and Roll Hall of Fame Foundation,1996,"Rock and Roll Hall of Fame Foundation, Jefferson Airplane (Musical group), Rock musicians, Rock and Roll Hall of Fame and Museum, Pink Floyd (Musical group), Music museums, Shirelles (Musical group), Gladys Knight and the Pips, History and criticism, Awards, Velvet Underground (Musical group), Rock music, Biography",eng,https://covers.openlibrary.org/b/id/9811918-L.jpg
Print's Best Logos & Symbols 4,"Linda Silver, Andrew Kner",March 1996,"Signs and symbols, United States, Commercial art, Trademark And Letterhead Design, Art & Art Instruction, Art, Techniques - Drawing, Logography, Advertising & Promotion, Commercial - General, Typography, Awards",eng,https://covers.openlibrary.org/b/id/8283319-L.jpg
World Press Photo 1999,World Press,"July 1, 1999","Photojournalism, Photography, Photo Essays, Photographs: collections, Press & journalism, Yearbooks, annuals, almanacs, c 1990 to c 2000, Collections, Catalogs, Exhibitions",eng,https://covers.openlibrary.org/b/id/1261392-L.jpg
Nobel Lectures,"Tore Frängsmyr, Irwin Abrams",February 1997,"Honours & decorations, Peace studies, c 1970 to c 1980, Political History, Awards, Prizes (General), Peace And Peace Movements, Science/Mathematics, Awards, Nobel Prizes, Peace",eng,https://covers.openlibrary.org/b/id/2298437-L.jpg
Pulitzer's Gold,Roy J. Harris Jr.,"January 17, 2008","Press & journalism, 20th century, Language Arts & Disciplines, Language Arts / Linguistics / Literacy, Language, USA, Journalism, History / United States, Awards, History, Pulitzer Prizes, United States",eng,https://covers.openlibrary.org/b/id/2657583-L.jpg
Zhurnalistika kak postupok,A. K. Simonov,2004,Journalism,rus,https://covers.openlibrary.org/b/id/8672638-L.jpg
The road to Stockholm,István Hargittai,2002,"Scientists -- Biography, Nobel Prizes, Science -- Awards",eng,https://covers.openlibrary.org/b/id/1135215-L.jpg
The Nobel Peace Prize and the laureates,Irwin Abrams,2001,"Pacifists -- Biography., Nobel Prizes -- History., Peace -- Awards -- History.",eng,https://covers.openlibrary.org/b/id/1637201-L.jpg
A pictorial history of the Canadian Film Awards,Maria Topalovich,1984,"Motion pictures -- Canada -- Awards, Motion pictures -- Canada -- Plots, themes, etc, Genie Awards",eng,https://covers.openlibrary.org/b/id/12312164-L.jpg
