title,author,cover_url,publish_date,language,subjects
politics of literary prestige: prizes and spanish american literature,sarah e. l. bowskill,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"spanish american literature, awards, political aspects, literary prizes, literary studies: from c 1900 -, literary studies: fiction, novelists & prose writers, social & political philosophy"
symposium städtebau revisited: preise - praxis - perspektiven : preisverleihung : deutscher städtebaupreis 2020,christina simon-philipp,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,german,"city planning, congresses, awards, german architecture, urbanisme, congrès, prix et récompenses, architecture allemande, germany, allemagne, 21st century, 21e siècle"
ntaa 2022 - new technological art award 2022: international art exhibition,haseeb ahmed,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"art and technology, exhibitions, art, awards, belgium, ghent"
"deutsche bank ""artists of the year"" 2021: maxwell alexandre, conny maier, zhang xu zhan",maxwell alexandre,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"modern art, exhibitions, art, awards, maxwell alexandre (1990-), conny maier, zhang xu zhan (1988-), germany, 21st century"
"maxxi bulgari prize 2022: alessandra ferrini, silvia rosi, namsal siedlecki",giulia ferracci,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,italian,"maxxi bulgari prize, exhibitions, art, awards, young artists, alessandra ferrini (1984-), silvia rosi (1992-), namsal siedlecki (1986-), italy, rome"
premio combat 2022 prize,paolo batoni,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,italian,"premio combat, exhibitions, modern art, italian art, art, awards, italy, livorno, 21st century"
sustainable design 9: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city,marie-hélène contal,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,french,"sustainable architecture, awards, history, global award for sustainable architecture, architecture and society, 21st century"
nueva arquitectura tradicional mmxxii: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus,alejandro garcía hermida,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,spanish,"vernacular architecture, architecture, awards, architecture vernaculaire, spain, espagne"
in the shadow of trees,belgium) photobrussels festival (6th 202...,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,french,"artistic photography, exhibitions, awards, photography of trees, trees in art, belgium, brussels"
"manga, anime jushō sakuhin sōran",nichigai asoshiētsu,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,japanese,"comic books, strips, bibliography, awards, animated films, catalogs, japan"
mchap the americas 2: territory and expeditions,florencia rodriguez,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"architecture, modern architecture, awards"
cyberarts 2021: international compendium prix ars electronica,markus jandl,https://covers.openlibrary.org/b/id/13794706-M.jpg,2022,english,"computer art, awards, computer animation, prix ars electronica (2021 : linz, austria)"
architecture china 2020 building with nature june 2021,l. xiangning,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"architecture, awards, sustainable architecture, architecture durable"
janet cardiff und george bures miller: wilhelm lehmbruck award winner of the city of duisburg and the landschaftsverband rheinland 2020,"roland wetzel, söke dinkla",https://openlibrary.org/images/icons/avatar_book-sm.png,2022,german,"exhibitions, multimedia installations (art), art, awards"
qspa 10: the queen sonja print award,alf van der hagen,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"prints, awards, queen sonja print award"
21st century houses: riba award-winning homes,dominic bradbury,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"domestic architecture, architecture, awards, modern architecture"
the best short stories 2022: the o. henry prize winners,"valeria luiselli, jenny minton quigley",https://covers.openlibrary.org/b/id/14597913-M.jpg,2022,english,"literature, short stories, awards"
synthetic organic chemistry and the nobel prize volume 1,john g. d'angelo,https://openlibrary.org/images/icons/avatar_book-sm.png,2022,english,"science / chemistry / organic, medical / pharmacology, organic compounds, synthesis, nobel prizes, nobel prize winners, organic chemistry, awards"
world press photo 2022,world press photo foundation,https://covers.openlibrary.org/b/id/13256566-M.jpg,2022,english,"photojournalism, awards, twenty-first century, pictorial works, vingt et unième siècle, ouvrages illustrés, photographie de presse"
young architects 21: just,"the architectural league of new york, anne rieselbach",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,english,"architecture, awards, history, young architects, architectural league prize for young architects and designers, architectural league prize for young architects and designers. fast (ocolc)fst01776258"
prizing scottish literature: a cultural history of the saltire society literary awards,stevie marsden,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,english,"literary prizes, scottish literature, awards, saltire society"
both pulitzer and nobel prize laureates in literature: jury communications about winners and works from sinclair le,heinz-dietrich fischer,https://openlibrary.org/images/icons/avatar_book-sm.png,2021,english,"writing, awards, nobel prize winners, pulitzer prizes"
best highrises 2020/21: the international highrise award 2020,"peter cachola schmal, peter körner, stefanie lampe, jonas malzahn",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,"english,german","high-rise apartment buildings, design and construction, skyscrapers, awards, exhibitions, architecture, modern architecture"
