title,author,published_year,language,subjects,cover,content
21st century houses: riba award-winning homes,dominic bradbury,2022,english,"domestic architecture, architecture, awards, modern architecture",https://openlibrary.org/images/icons/avatar_book-sm.png,21st century houses: riba award-winning homes [SEP] dominic bradbury [SEP] domestic architecture  architecture  awards  modern architecture
architecture china 2020 building with nature june 2021,l. xiangning,2022,english,"architecture, awards, sustainable architecture, architecture durable",https://openlibrary.org/images/icons/avatar_book-sm.png,architecture china 2020 building with nature june 2021 [SEP] l. xiangning [SEP] architecture  awards  sustainable architecture  architecture durable
cyberarts 2021: international compendium prix ars electronica,markus jandl,2022,english,"computer art, awards, computer animation, prix ars electronica (2021 : linz, austria)",https://covers.openlibrary.org/b/id/13794706-M.jpg,cyberarts 2021: international compendium prix ars electronica [SEP] markus jandl [SEP] computer art  awards  computer animation  prix ars electronica (2021 : linz  austria)
"deutsche bank ""artists of the year"" 2021: maxwell alexandre, conny maier, zhang xu zhan",maxwell alexandre,2022,english,"modern art, exhibitions, art, awards, maxwell alexandre (1990-), conny maier, zhang xu zhan (1988-), germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,"deutsche bank ""artists of the year"" 2021: maxwell alexandre  conny maier  zhang xu zhan [SEP] maxwell alexandre [SEP] modern art  exhibitions  art  awards  maxwell alexandre (1990-)  conny maier  zhang xu zhan (1988-)  germany  21st century"
in the shadow of trees,belgium) photobrussels festival (6th 202...,2022,french,"artistic photography, exhibitions, awards, photography of trees, trees in art, belgium, brussels",https://openlibrary.org/images/icons/avatar_book-sm.png,in the shadow of trees [SEP] belgium) photobrussels festival (6th 202... [SEP] artistic photography  exhibitions  awards  photography of trees  trees in art  belgium  brussels
janet cardiff und george bures miller: wilhelm lehmbruck award winner of the city of duisburg and the landschaftsverband rheinland 2020,"roland wetzel, söke dinkla",2022,german,"exhibitions, multimedia installations (art), art, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,janet cardiff und george bures miller: wilhelm lehmbruck award winner of the city of duisburg and the landschaftsverband rheinland 2020 [SEP] roland wetzel  söke dinkla [SEP] exhibitions  multimedia installations (art)  art  awards
"manga, anime jushō sakuhin sōran",nichigai asoshiētsu,2022,japanese,"comic books, strips, bibliography, awards, animated films, catalogs, japan",https://openlibrary.org/images/icons/avatar_book-sm.png,manga  anime jushō sakuhin sōran [SEP] nichigai asoshiētsu [SEP] comic books  strips  bibliography  awards  animated films  catalogs  japan
"maxxi bulgari prize 2022: alessandra ferrini, silvia rosi, namsal siedlecki",giulia ferracci,2022,italian,"maxxi bulgari prize, exhibitions, art, awards, young artists, alessandra ferrini (1984-), silvia rosi (1992-), namsal siedlecki (1986-), italy, rome",https://openlibrary.org/images/icons/avatar_book-sm.png,maxxi bulgari prize 2022: alessandra ferrini  silvia rosi  namsal siedlecki [SEP] giulia ferracci [SEP] maxxi bulgari prize  exhibitions  art  awards  young artists  alessandra ferrini (1984-)  silvia rosi (1992-)  namsal siedlecki (1986-)  italy  rome
mchap the americas 2: territory and expeditions,florencia rodriguez,2022,english,"architecture, modern architecture, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,mchap the americas 2: territory and expeditions [SEP] florencia rodriguez [SEP] architecture  modern architecture  awards
ntaa 2022 - new technological art award 2022: international art exhibition,haseeb ahmed,2022,english,"art and technology, exhibitions, art, awards, belgium, ghent",https://openlibrary.org/images/icons/avatar_book-sm.png,ntaa 2022 - new technological art award 2022: international art exhibition [SEP] haseeb ahmed [SEP] art and technology  exhibitions  art  awards  belgium  ghent
