title,author,published_year,language,subjects,cover,content
21st century houses: riba award-winning homes,dominic bradbury,2022,english,"domestic architecture, architecture, awards, modern architecture",https://openlibrary.org/images/icons/avatar_book-sm.png,title: 21st century houses: riba award-winning homes. title: 21st century houses: riba award-winning homes. author: dominic bradbury. author: dominic bradbury. subjects: domestic architecture  architecture  awards  modern architecture
architecture china 2020 building with nature june 2021,l. xiangning,2022,english,"architecture, awards, sustainable architecture, architecture durable",https://openlibrary.org/images/icons/avatar_book-sm.png,title: architecture china 2020 building with nature june 2021. title: architecture china 2020 building with nature june 2021. author: l. xiangning. author: l. xiangning. subjects: architecture  awards  sustainable architecture  architecture durable
cyberarts 2021: international compendium prix ars electronica,markus jandl,2022,english,"computer art, awards, computer animation, prix ars electronica (2021 : linz, austria)",https://covers.openlibrary.org/b/id/13794706-M.jpg,title: cyberarts 2021: international compendium prix ars electronica. title: cyberarts 2021: international compendium prix ars electronica. author: markus jandl. author: markus jandl. subjects: computer art  awards  computer animation  prix ars electronica (2021 : linz  austria)
"deutsche bank ""artists of the year"" 2021: maxwell alexandre, conny maier, zhang xu zhan",maxwell alexandre,2022,english,"modern art, exhibitions, art, awards, maxwell alexandre (1990-), conny maier, zhang xu zhan (1988-), germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,"title: deutsche bank ""artists of the year"" 2021: maxwell alexandre  conny maier  zhang xu zhan. title: deutsche bank ""artists of the year"" 2021: maxwell alexandre  conny maier  zhang xu zhan. author: maxwell alexandre. author: maxwell alexandre. subjects: modern art  exhibitions  art  awards  maxwell alexandre (1990-)  conny maier  zhang xu zhan (1988-)  germany  21st century"
in the shadow of trees,belgium) photobrussels festival (6th 202...,2022,french,"artistic photography, exhibitions, awards, photography of trees, trees in art, belgium, brussels",https://openlibrary.org/images/icons/avatar_book-sm.png,title: in the shadow of trees. title: in the shadow of trees. author: belgium) photobrussels festival (6th 202.... author: belgium) photobrussels festival (6th 202.... subjects: artistic photography  exhibitions  awards  photography of trees  trees in art  belgium  brussels
janet cardiff und george bures miller: wilhelm lehmbruck award winner of the city of duisburg and the landschaftsverband rheinland 2020,"roland wetzel, söke dinkla",2022,german,"exhibitions, multimedia installations (art), art, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: janet cardiff und george bures miller: wilhelm lehmbruck award winner of the city of duisburg and the landschaftsverband rheinland 2020. title: janet cardiff und george bures miller: wilhelm lehmbruck award winner of the city of duisburg and the landschaftsverband rheinland 2020. author: roland wetzel  söke dinkla. author: roland wetzel  söke dinkla. subjects: exhibitions  multimedia installations (art)  art  awards
"manga, anime jushō sakuhin sōran",nichigai asoshiētsu,2022,japanese,"comic books, strips, bibliography, awards, animated films, catalogs, japan",https://openlibrary.org/images/icons/avatar_book-sm.png,title: manga  anime jushō sakuhin sōran. title: manga  anime jushō sakuhin sōran. author: nichigai asoshiētsu. author: nichigai asoshiētsu. subjects: comic books  strips  bibliography  awards  animated films  catalogs  japan
"maxxi bulgari prize 2022: alessandra ferrini, silvia rosi, namsal siedlecki",giulia ferracci,2022,italian,"maxxi bulgari prize, exhibitions, art, awards, young artists, alessandra ferrini (1984-), silvia rosi (1992-), namsal siedlecki (1986-), italy, rome",https://openlibrary.org/images/icons/avatar_book-sm.png,title: maxxi bulgari prize 2022: alessandra ferrini  silvia rosi  namsal siedlecki. title: maxxi bulgari prize 2022: alessandra ferrini  silvia rosi  namsal siedlecki. author: giulia ferracci. author: giulia ferracci. subjects: maxxi bulgari prize  exhibitions  art  awards  young artists  alessandra ferrini (1984-)  silvia rosi (1992-)  namsal siedlecki (1986-)  italy  rome
mchap the americas 2: territory and expeditions,florencia rodriguez,2022,english,"architecture, modern architecture, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: mchap the americas 2: territory and expeditions. title: mchap the americas 2: territory and expeditions. author: florencia rodriguez. author: florencia rodriguez. subjects: architecture  modern architecture  awards
ntaa 2022 - new technological art award 2022: international art exhibition,haseeb ahmed,2022,english,"art and technology, exhibitions, art, awards, belgium, ghent",https://openlibrary.org/images/icons/avatar_book-sm.png,title: ntaa 2022 - new technological art award 2022: international art exhibition. title: ntaa 2022 - new technological art award 2022: international art exhibition. author: haseeb ahmed. author: haseeb ahmed. subjects: art and technology  exhibitions  art  awards  belgium  ghent
